0x2100: INIDISP
0x4325: DAS2L
0x4326: DAS2H
0x4327: DAS20
0x4328: A2A2L
0x4329: A2A2H
0x432a: NTRL2
0x432b: UNUSED2
0x432f: MIRR2
0x4330: DMAP3
0x4331: BBAD3
0x4332: A1T3L
0x4333: A1T3H
0x4334: A1B3
0x4335: DAS3L
0x4336: DAS3H
0x4337: DAS30
0x4338: A2A3L
0x4339: A2A3H
0x433a: NTRL3
0x433b: UNUSED3
0x433f: MIRR3
0x4340: DMAP4
0x4341: BBAD4
0x4342: A1T4L
0x4343: A1T4H
0x4344: A1B4
0x4345: DAS4L
0x4346: DAS4H
0x4347: DAS40
0x4348: A2A4L
0x4349: A2A4H
0x434a: NTRL4
0x434b: UNUSED4
0x434f: MIRR4
0x4350: DMAP5
0x4351: BBAD5
0x4352: A1T5L
0x4353: A1T5H
0x4354: A1B5
0x4355: DAS5L
0x4356: DAS5H
0x4357: DAS50
0x4358: A2A5L
0x4359: A2A5H
0x435a: NTRL5
0x435b: UNUSED5
0x435f: MIRR5
0x4360: DMAP6
0x4361: BBAD6
0x4362: A1T6L
0x4363: A1T6H
0x4364: A1B6
0x4365: DAS6L
0x4366: DAS6H
0x4367: DAS60
0x4368: A2A6L
0x4369: A2A6H
0x436a: NTRL6
0x436b: UNUSED6
0x436f: MIRR6
0x4370: DMAP7
0x4371: BBAD7
0x4372: A1T7L
0x4373: A1T7H
0x4374: A1B7
0x4375: DAS7L
0x4376: DAS7H
0x4377: DAS70
0x4378: A2A7L
0x4379: A2A7H
0x437a: NTRL7
0x437b: UNUSED7
0x437f: MIRR7
0x7003e5: sram_slot1_tag
0x7008e5: sram_slot2_tag
0x700de5: sram_slot3_tag
0x7e0000: A0
0x7e0001: A1
0x7e0002: A2
0x7e0003: A3
0x7e0004: A4
0x7e0005: A5
0x7e0006: A6
0x7e0007: A7
0x7e0008: A8
0x7e0009: A9
0x7e000a: A10
0x7e000b: A11
0x7e000c: A12
0x7e000d: A13
0x7e000e: A14
0x7e000f: A15
0x7e0010: main_module_index
0x7e0011: submodule_index
0x7e0012: nmi_boolean
0x7e0013: INIDISP_copy
0x7e0014: nmi_load_bg_from_vram
0x7e0015: flag_update_cgram_in_nmi
0x7e0016: flag_update_hud_in_nmi
0x7e0017: nmi_subroutine_index
0x7e0018: nmi_copy_packets_flag
0x7e0019: nmi_update_tilemap_dst
0x7e001a: frame_counter
0x7e001b: player_is_indoors
0x7e001c: TM_copy
0x7e001d: TS_copy
0x7e001e: TMW_copy
0x7e001f: TSW_copy
0x7e0020: link_y_coord
0x7e0022: link_x_coord
0x7e0024: link_z_coord
0x7e0026: link_direction_last
0x7e0027: link_actual_vel_y
0x7e0028: link_actual_vel_x
0x7e0029: link_actual_vel_z
0x7e002a: link_subpixel_y
0x7e002b: link_subpixel_x
0x7e002c: link_subpixel_z
0x7e002d: link_counter_var1
0x7e002e: link_animation_steps
0x7e002f: link_direction_facing
0x7e0030: link_y_vel
0x7e0031: link_x_vel
0x7e0032: link_y_coord_original
0x7e0038: tiledetect_diagonal_tile
0x7e003a: button_mask_b_y
0x7e003b: bitfield_for_a_button
0x7e003c: button_b_frames
0x7e003d: link_delay_timer_spin_attack
0x7e003e: link_y_coord_safe_return_lo
0x7e003f: link_x_coord_safe_return_lo
0x7e0040: link_y_coord_safe_return_hi
0x7e0041: link_x_coord_safe_return_hi
0x7e0042: link_direction_mask_a
0x7e0043: link_direction_mask_b
0x7e0044: player_oam_y_offset
0x7e0045: player_oam_x_offset
0x7e0046: link_incapacitated_timer
0x7e0047: set_when_damaging_enemies
0x7e0048: bitmask_of_dragstate
0x7e0049: force_move_any_direction
0x7e004b: link_visibility_status
0x7e004c: cape_decrement_counter
0x7e004d: link_auxiliary_state
0x7e004f: index_of_dashing_sfx
0x7e0050: link_cant_change_direction
0x7e0051: tiledetect_which_y_pos
0x7e0055: link_cape_mode
0x7e0056: link_is_bunny
0x7e0057: link_speed_modifier
0x7e0058: tiledetect_stair_tile
0x7e0059: tiledetect_pit_tile
0x7e005a: link_this_controls_sprite_oam
0x7e005b: player_near_pit_state
0x7e005d: link_player_handler_state
0x7e005e: link_speed_setting
0x7e005f: tiledetect_var2
0x7e0061: gravestone_push_timeout
0x7e0062: tiledetect_var1
0x7e0064: oam_priority_value
0x7e0066: link_last_direction_moved_towards
0x7e0067: link_direction
0x7e0068: link_y_page_movement_delta
0x7e0069: link_x_page_movement_delta
0x7e006a: link_num_orthogonal_directions
0x7e006b: link_moving_against_diag_tile
0x7e006c: is_standing_in_doorway
0x7e006d: moving_against_diag_deadlocked
0x7e006e: tiledetect_diag_state
0x7e0072: scratch_b
0x7e0073: scratch_a
0x7e0074: scratch_c
0x7e0075: scratch_d
0x7e0076: index_of_interacting_tile
0x7e0078: allow_scroll_z
0x7e0079: link_spin_attack_step_counter
0x7e007b: last_light_vs_dark_world
0x7e0084: map16_load_src_off
0x7e0086: map16_load_dst_off
0x7e0088: map16_load_var2
0x7e008a: overworld_screen_index
0x7e008c: overlay_index
0x7e0090: oam_cur_ptr
0x7e0092: oam_ext_cur_ptr
0x7e0094: BGMODE_copy
0x7e0095: MOSAIC_copy
0x7e0096: W12SEL_copy
0x7e0097: W34SEL_copy
0x7e0098: WOBJSEL_copy
0x7e0099: CGWSEL_copy
0x7e009a: CGADSUB_copy
0x7e009b: HDMAEN_copy
0x7e009c: COLDATA_copy0
0x7e009d: COLDATA_copy1
0x7e009e: COLDATA_copy2
0x7e00a0: dungeon_room_index
0x7e00a2: dungeon_room_index_prev
0x7e00a4: dung_cur_floor
0x7e00a6: quadrant_fullsize_x
0x7e00a7: quadrant_fullsize_y
0x7e00a8: composite_of_layout_and_quadrant
0x7e00a9: link_quadrant_x
0x7e00aa: link_quadrant_y
0x7e00ad: dung_hdr_collision_2
0x7e00ae: dung_hdr_tag
0x7e00b0: subsubmodule_index
0x7e00b1: subsubmodule_index_PADDING
0x7e00b2: dung_draw_width_indicator
0x7e00b4: dung_draw_height_indicator
0x7e00b7: dung_load_ptr
0x7e00b9: dung_load_ptr_bank
0x7e00ba: dung_load_ptr_offs
0x7e00bd: tmp1
0x7e00bf: dung_line_ptrs_row0
0x7e00cb: dung_line_ptrs_row1
0x7e00d7: dung_line_ptrs_row2
0x7e00da: dung_line_ptrs_row3
0x7e00dd: dung_line_ptrs_row4
0x7e00e0: BG1HOFS_copy2
0x7e00e2: BG2HOFS_copy2
0x7e00e4: BG3HOFS_copy2
0x7e00e6: BG1VOFS_copy2
0x7e00e8: BG2VOFS_copy2
0x7e00ea: BG3VOFS_copy2
0x7e00ec: tilemap_location_calc_mask
0x7e00ee: link_is_on_lower_level
0x7e00ef: room_transitioning_flags
0x7e00f0: joypad1H_last
0x7e00f2: joypad1L_last
0x7e00f4: filtered_joypad_H
0x7e00f6: filtered_joypad_L
0x7e00f8: joypad1H_last2
0x7e00fa: joypad1L_last2
0x7e00fc: dung_unk2
0x7e00ff: virq_trigger
0x7e0100: link_dma_graphics_index
0x7e0102: link_dma_var1
0x7e0104: link_dma_var2
0x7e0107: link_dma_var3
0x7e0108: link_dma_var4
0x7e0109: link_dma_var5
0x7e010a: death_var5
0x7e010c: saved_module_for_menu
0x7e010e: which_entrance
0x7e0110: dung_index_x3
0x7e0112: flag_custom_spell_anim_active
0x7e0114: link_tile_below
0x7e0115: link_tile_below_PADDING
0x7e0116: nmi_load_target_addr
0x7e0118: nmi_update_tilemap_src
0x7e011a: bg1_x_offset
0x7e011c: bg1_y_offset
0x7e011e: BG2HOFS_copy
0x7e0120: BG1HOFS_copy
0x7e0122: BG2VOFS_copy
0x7e0124: BG1VOFS_copy
0x7e0126: transition_counter
0x7e0128: irq_flag
0x7e012a: is_nmi_thread_active
0x7e012c: music_control
0x7e012d: sound_effect_ambient
0x7e012e: sound_effect_1
0x7e012f: sound_effect_2
0x7e0130: music_unk1
0x7e0131: sound_effect_ambient_last
0x7e0132: buffer_for_playing_songs
0x7e0133: last_music_control
0x7e0134: animated_tile_vram_addr
0x7e0136: flag_which_music_type
0x7e01fe: stk_return_addr
0x7e0200: overworld_map_state
0x7e0201: overworld_map_state_UNUSED
0x7e0202: hud_cur_item
0x7e0203: hud_cur_item_hi
0x7e0204: hud_var1
0x7e0207: timer_for_flashing_circle
0x7e0208: animate_heart_refill_countdown
0x7e0209: animate_heart_refill_countdown_subpos
0x7e020a: is_doing_heart_animation
0x7e020b: link_debug_value_1
0x7e020d: dungmap_init_state
0x7e020e: dungmap_cur_floor
0x7e0210: dungmap_var2
0x7e0211: dungmap_idx
0x7e0213: dungmap_var4
0x7e0215: dungmap_var3
0x7e0217: dungmap_var5
0x7e0280: ancilla_objprio
0x7e028a: ancilla_U
0x7e0294: ancilla_z_vel
0x7e029e: ancilla_z
0x7e02a8: ancilla_z_subpixel
0x7e02c0: tiledetect_inroom_staircase
0x7e02c3: pushedblocks_some_index
0x7e02c4: pushedblocks_maybe_timeout
0x7e02c6: link_recoilmode_timer
0x7e02c7: link_actual_vel_z_copy
0x7e02ca: fallhole_var2
0x7e02cb: swimming_countdown
0x7e02cf: tagalong_var2
0x7e02d0: tagalong_var3
0x7e02d1: tagalong_var7
0x7e02d2: timer_tagalong_reacquire
0x7e02d3: tagalong_var1
0x7e02d6: tagalong_var4
0x7e02d8: link_receiveitem_index
0x7e02d9: link_receiveitem_var1
0x7e02da: link_pose_for_item
0x7e02db: link_triggered_by_whirlpool_sprite
0x7e02dc: link_x_coord_copy
0x7e02de: link_y_coord_copy
0x7e02e0: link_is_bunny_mirror
0x7e02e1: link_is_transforming
0x7e02e2: link_bunny_transform_timer
0x7e02e3: link_sword_delay_timer
0x7e02e4: flag_is_link_immobilized
0x7e02e5: tiledetect_chest
0x7e02e7: tiledetect_key_lock_gravestones
0x7e02e8: bitfield_spike_cactus_tiles
0x7e02e9: item_receipt_method
0x7e02ea: tiledetect_tile_type
0x7e02ec: flag_is_ancilla_to_pick_up
0x7e02ee: tiledetect_spike_floor_and_tile_triggers
0x7e02ef: bitmask_for_dashable_tiles
0x7e02f1: link_dash_ctr
0x7e02f2: tagalong_event_flags
0x7e02f4: flag_is_sprite_to_pick_up_cached
0x7e02f5: player_on_somaria_platform
0x7e02f6: tiledetect_misc_tiles
0x7e02f8: link_want_make_noise_when_dashed
0x7e02f9: tagalong_var5
0x7e02fa: link_is_near_moveable_statue
0x7e0300: player_handler_timer
0x7e0301: link_item_in_hand
0x7e0302: fallhole_var1
0x7e0303: eq_selected_y_item
0x7e0304: eq_selected_y_item_copy
0x7e0305: debug_var2
0x7e0306: unused_2
0x7e0307: eq_selected_rod
0x7e0308: link_state_bits
0x7e0309: link_picking_throw_state
0x7e030a: some_animation_timer_steps
0x7e030b: some_animation_timer
0x7e030d: link_var30d
0x7e030e: link_var30e
0x7e0310: dung_floor_y_vel
0x7e0312: dung_floor_x_vel
0x7e0314: flag_is_sprite_to_pick_up
0x7e0315: tile_coll_flag
0x7e0318: related_to_moving_floor_y
0x7e031a: related_to_moving_floor_x
0x7e031c: state_for_spin_attack
0x7e031d: step_counter_for_spin_attack
0x7e031e: link_spin_offsets
0x7e031f: countdown_for_blink
0x7e0320: tiledetect_moving_floor_tiles
0x7e0323: link_direction_facing_mirror
0x7e0326: swimcoll_var3
0x7e032a: link_maybe_swim_faster
0x7e032b: swimcoll_var5
0x7e032f: swimcoll_var1
0x7e0334: swimcoll_var9
0x7e0338: swimcoll_var11
0x7e033c: swimcoll_var7
0x7e0340: link_some_direction_bits
0x7e0341: tiledetect_deepwater
0x7e0343: tiledetect_normal_tiles
0x7e0345: link_is_in_deep_water
0x7e0346: link_palette_bits_of_oam
0x7e0348: tiledetect_icy_floor
0x7e034a: link_flag_moving
0x7e034b: eq_debug_variable
0x7e034c: tiledetect_water_staircase
0x7e034f: link_swim_hard_stroke
0x7e0350: link_debug_value_2
0x7e0351: draw_water_ripples_or_grass
0x7e0352: sort_sprites_offset_into_oam_buffer
0x7e0354: value_computed_for_player_oam
0x7e0355: secondary_water_grass_timer
0x7e0356: primary_water_grass_timer
0x7e0357: tiledetect_thick_grass
0x7e0359: tiledetect_shallow_water
0x7e035b: tiledetect_destruction_aftermath
0x7e035d: oam_priority_value_2
0x7e035f: flag_for_boomerang_in_place
0x7e0360: link_electrocute_on_touch
0x7e0362: link_actual_vel_z_mirror
0x7e0363: link_actual_vel_z_copy_mirror
0x7e0364: link_z_coord_mirror
0x7e0366: tiledetect_read_something
0x7e0368: interacting_with_liftable_tile_x1
0x7e0369: interacting_with_liftable_tile_x1b
0x7e036a: interacting_with_liftable_tile_x2
0x7e036b: player_unk1
0x7e036c: tile_action_index
0x7e036d: tiledetect_vertical_ledge
0x7e036e: detection_of_ledge_tiles_horiz_uphoriz
0x7e036f: tiledetect_ledges_down_leftright
0x7e0370: detection_of_unknown_tile_types
0x7e0371: link_timer_push_get_tired
0x7e0372: link_is_running
0x7e0373: link_give_damage
0x7e0374: link_countdown_for_dash
0x7e0375: link_timer_jump_ledge
0x7e0376: link_grabbing_wall
0x7e0377: link_unk_master_sword
0x7e0378: countdown_timer_for_staircases
0x7e037a: link_position_mode
0x7e037b: link_disable_sprite_damage
0x7e037c: player_sleep_in_bed_state
0x7e037d: link_pose_during_opening
0x7e037e: related_to_hookshot
0x7e037f: cheatWalkThroughWalls
0x7e0380: ancilla_K
0x7e0385: ancilla_L
0x7e038a: ancilla_A
0x7e038f: ancilla_B
0x7e0394: ancilla_G
0x7e0399: boomerang_temp_y
0x7e039b: boomerang_temp_x
0x7e039d: hookshot_effect_index
0x7e039f: ancilla_arr3
0x7e03a4: ancilla_arr1
0x7e03a9: ancilla_S
0x7e03b1: ancilla_aux_timer
0x7e03b6: door_debris_x
0x7e03ba: door_debris_y
0x7e03be: door_debris_direction
0x7e03c0: ancilla_arr26
0x7e03c2: ancilla_arr25
0x7e03c4: ancilla_alloc_rotate
0x7e03c5: ancilla_H
0x7e03ca: ancilla_floor2
0x7e03cf: boomerang_arr1
0x7e03d2: ancilla_arr23
0x7e03d5: ancilla_T
0x7e03db: ancilla_arr24
0x7e03e1: ancilla_arr22
0x7e03e4: ancilla_tile_attr
0x7e03e9: link_something_with_hookshot
0x7e03ea: ancilla_R
0x7e03ef: link_force_hold_sword_up
0x7e03f0: flute_countdown
0x7e03f1: tiledetect_var4
0x7e03f4: dung_unk6
0x7e03f5: link_timer_tempbunny
0x7e03f7: link_need_for_poof_for_transform
0x7e03f8: link_need_for_pullforrupees_sprite
0x7e03f9: hookshot_var1
0x7e03fa: bit9_of_xcoord
0x7e0400: dung_door_opened
0x7e0402: dung_savegame_state_bits
0x7e0408: dung_quadrants_visited
0x7e040a: overworld_area_index
0x7e040c: cur_palace_index_x2
0x7e040e: dung_layout_and_starting_quadrant
0x7e0410: overworld_screen_trans_dir_bits
0x7e0412: incremental_counter_for_vram
0x7e0414: dung_hdr_bg2_properties
0x7e0415: dung_hdr_bg2_properties_PADDING
0x7e0416: overworld_screen_trans_dir_bits2
0x7e0418: overworld_screen_transition
0x7e0419: overworld_screen_transition_ALWAYSZERO
0x7e041a: dung_floor_move_flags
0x7e041c: dung_some_subpixel
0x7e041e: moving_wall_var2
0x7e041f: moving_wall_var2_PADDING
0x7e0422: dung_floor_x_offs
0x7e0424: dung_floor_y_offs
0x7e0428: dung_hdr_collision_2_mirror
0x7e0429: dung_hdr_collision_2_mirror_PADDING
0x7e042a: moving_wall_var1
0x7e042c: dung_misc_objs_index
0x7e042e: dung_index_of_torches
0x7e0430: dung_door_switch_triggered
0x7e0432: dung_num_star_shaped_switches
0x7e0436: invisible_door_dir_and_index_x2
0x7e0438: dung_num_inter_room_upnorth_stairs
0x7e043a: dung_num_inter_room_southdown_stairs
0x7e043c: dung_num_inroom_upnorth_stairs
0x7e043e: dung_num_inroom_southdown_stairs
0x7e0440: dung_num_interpseudo_upnorth_stairs
0x7e0442: dung_num_inroom_upnorth_stairs_water
0x7e0444: dung_num_activated_water_ladders
0x7e0446: dung_num_water_ladders
0x7e0448: dung_some_stairs_unk4
0x7e044a: kind_of_in_room_staircase
0x7e044e: dung_num_toggle_floor
0x7e0450: dung_num_toggle_palace
0x7e0452: dung_blastwall_flag_x
0x7e0453: dung_blastwall_flag_y
0x7e0454: dung_unk_blast_walls_2
0x7e0456: dung_unk_blast_walls_3
0x7e0458: hdr_dungeon_dark_with_lantern
0x7e0459: hdr_dungeon_dark_with_lantern_PADDING
0x7e045a: dung_num_lit_torches
0x7e045b: dung_num_lit_torches_PADDING
0x7e045c: dung_cur_quadrant_upload
0x7e045d: dung_cur_quadrant_upload_PADDING
0x7e0460: dung_cur_door_idx
0x7e0462: which_staircase_index
0x7e0463: which_staircase_index_PADDING
0x7e0464: staircase_var1
0x7e0466: related_to_trapdoors_somehow
0x7e0468: dung_flag_trapdoors_down
0x7e046a: dung_floor_2_filler_tiles
0x7e046c: dung_hdr_collision
0x7e0470: watergate_var1
0x7e0471: watergate_var1_PADDING
0x7e0472: watergate_pos
0x7e0474: push_block_direction
0x7e0476: link_is_on_lower_level_mirror
0x7e0478: dung_index_of_torches_start
0x7e047a: about_to_jump_off_ledge
0x7e047e: dung_num_wall_upnorth_spiral_stairs
0x7e0480: dung_num_wall_downnorth_spiral_stairs
0x7e0482: dung_num_wall_upnorth_spiral_stairs_2
0x7e0484: dung_num_wall_downnorth_spiral_stairs_2
0x7e048a: cur_staircase_plane
0x7e048e: dungeon_room_index2
0x7e0490: dung_floor_1_filler_tiles
0x7e0494: move_overlay_ctr
0x7e0496: dung_num_chests_x2
0x7e0498: dung_num_bigkey_locks_x2
0x7e049a: dung_num_stairs_1
0x7e049c: dung_num_stairs_2
0x7e049e: dung_num_stairs_wet
0x7e04a0: hud_floor_changed_timer
0x7e04a2: dung_num_inter_room_upnorth_straight_stairs
0x7e04a4: dung_num_inter_room_upsouth_straight_stairs
0x7e04a6: dung_num_inter_room_downnorth_straight_stairs
0x7e04a8: dung_num_inter_room_downsouth_straight_stairs
0x7e04aa: death_var4
0x7e04ac: num_memorized_tiles
0x7e04ae: dung_num_inroom_upsouth_stairs_water
0x7e04b0: dung_unk5
0x7e04b4: super_bomb_indicator_unk2
0x7e04b5: super_bomb_indicator_unk1
0x7e04b8: big_key_door_message_triggered
0x7e04ba: dung_overlay_to_load
0x7e04c4: minigame_credits
0x7e04c6: trigger_special_entrance
0x7e04c7: flag_skip_call_tag_routines
0x7e04ca: link_lowlife_countdown_timer_beep
0x7e04f0: dung_torch_timers
0x7e0500: dung_replacement_tile_state
0x7e0520: dung_object_pos_in_objdata
0x7e0540: dung_object_tilemap_pos
0x7e0560: replacement_tilemap_UL
0x7e0580: replacement_tilemap_LL
0x7e05a0: replacement_tilemap_UR
0x7e05c0: replacement_tilemap_LR
0x7e05e0: pushedblocks_x_hi
0x7e05e4: pushedblocks_x_lo
0x7e05e8: pushedblocks_target
0x7e05ec: pushedblocks_y_hi
0x7e05f0: pushedblocks_y_lo
0x7e05f4: pushedblocks_subpixel
0x7e05f8: pushedblock_facing
0x7e05fc: index_of_changable_dungeon_objs
0x7e0600: room_scroll_vars0
0x7e0608: room_scroll_vars1
0x7e0610: up_down_scroll_target
0x7e0612: up_down_scroll_target_end
0x7e0614: left_right_scroll_target
0x7e0616: left_right_scroll_target_end
0x7e0618: camera_y_coord_scroll_low
0x7e061a: camera_y_coord_scroll_hi
0x7e061c: camera_x_coord_scroll_low
0x7e061e: camera_x_coord_scroll_hi
0x7e0620: BG1HOFS_subpixel
0x7e0622: BG1VOFS_subpixel
0x7e0624: overworld_unk1
0x7e0626: overworld_unk1_neg
0x7e0628: overworld_unk3
0x7e062a: overworld_unk3_neg
0x7e062c: dung_loade_bgoffs_h_copy
0x7e062e: dung_loade_bgoffs_v_copy
0x7e0630: selectfile_var8
0x7e0636: overworld_map_flags
0x7e0637: timer_for_mode7_zoom
0x7e0638: M7X_copy
0x7e063a: M7Y_copy
0x7e063c: dung_hdr_hole_teleporter_plane
0x7e063d: dung_hdr_staircase_plane
0x7e0641: dung_flag_movable_block_was_pushed
0x7e0642: dung_flag_statechange_waterpuzzle
0x7e0646: dung_flag_somaria_block_switch
0x7e0647: mosaic_inc_or_dec
0x7e0670: spotlight_var3
0x7e0674: spotlight_y_lower
0x7e0676: spotlight_y_upper
0x7e067a: spotlight_var4
0x7e067c: spotlight_var1
0x7e067e: spotlight_var2
0x7e0680: water_hdma_var0
0x7e0682: water_hdma_var1
0x7e0684: water_hdma_var2
0x7e0686: water_hdma_var3
0x7e0688: water_hdma_var4
0x7e068a: water_hdma_var5
0x7e068c: dung_door_opened_incl_adjacent
0x7e068e: dung_cur_door_pos
0x7e0690: door_animation_step_indicator
0x7e0692: door_open_closed_counter
0x7e0694: dung_which_key_x2
0x7e0696: ow_entrance_value
0x7e0698: big_rock_starting_address
0x7e069a: ow_countdown_transition
0x7e06a0: mirror_vars
0x7e06c0: dung_toggle_floor_pos
0x7e06d0: dung_toggle_palace_pos
0x7e06e0: dung_chest_locations
0x7e06ec: dung_stairs_table_2
0x7e0700: current_area_of_player
0x7e0708: overworld_offset_base_y
0x7e070a: overworld_offset_mask_y
0x7e070c: overworld_offset_base_x
0x7e070e: overworld_offset_mask_x
0x7e0710: nmi_disable_core_updates
0x7e0711: nmi_disable_core_updates_UNUSED
0x7e0712: overworld_area_is_big
0x7e0714: overworld_area_is_big_backup
0x7e0716: overworld_right_bottom_bound_for_scroll
0x7e0720: vwf_flag_next_line
0x7e0722: vwf_curline
0x7e0724: vwf_var1
0x7e0726: vwf_line_ptr
0x7e0800: oam_buf
0x7e0a00: extended_oam
0x7e0a20: bytewise_extended_oam
0x7e0aa1: main_tile_theme_index
0x7e0aa2: aux_tile_theme_index
0x7e0aa3: sprite_graphics_index
0x7e0aa4: misc_sprites_graphics_index
0x7e0aa6: unused_config_gfx
0x7e0aa8: overworld_palette_aux_or_main
0x7e0aaa: load_chr_halfslot_even_odd
0x7e0aac: overworld_palette_sp0
0x7e0aad: sprite_aux1_palette
0x7e0aae: sprite_aux2_palette
0x7e0ab1: palette_sp6
0x7e0ab2: hud_palette
0x7e0ab3: overworld_palette_mode
0x7e0ab4: overworld_palette_aux1_bp2to4_hi
0x7e0ab5: overworld_palette_aux2_bp5to7_hi
0x7e0ab6: dung_hdr_palette_1
0x7e0ab8: overworld_palette_aux3_bp7_lo
0x7e0abd: overworld_palette_swap_flag
0x7e0abf: flag_overworld_area_did_change
0x7e0ac0: dma_source_addr_6
0x7e0ac2: dma_source_addr_11
0x7e0ac4: dma_source_addr_7
0x7e0ac6: dma_source_addr_12
0x7e0ac8: dma_source_addr_8
0x7e0aca: dma_source_addr_13
0x7e0acc: dma_source_addr_3
0x7e0ace: dma_source_addr_0
0x7e0ad0: dma_source_addr_4
0x7e0ad2: dma_source_addr_1
0x7e0ad4: dma_source_addr_5
0x7e0ad6: dma_source_addr_2
0x7e0ad8: dma_source_addr_10
0x7e0ada: dma_source_addr_15
0x7e0adc: animated_tile_data_src
0x7e0ae0: dma_source_addr_9
0x7e0ae2: dma_source_addr_14
0x7e0ae8: dma_var6
0x7e0aea: dma_var7
0x7e0aec: dma_source_addr_16
0x7e0aee: dma_source_addr_18
0x7e0af0: dma_source_addr_17
0x7e0af2: dma_source_addr_19
0x7e0af4: flag_travel_bird
0x7e0af6: dma_source_addr_20
0x7e0af8: dma_source_addr_21
0x7e0b00: overlord_type
0x7e0b08: overlord_x_lo
0x7e0b10: overlord_x_hi
0x7e0b18: overlord_y_lo
0x7e0b20: overlord_y_hi
0x7e0b28: overlord_gen1
0x7e0b30: overlord_gen2
0x7e0b38: overlord_gen3
0x7e0b40: overlord_floor
0x7e0b48: overlord_offset_sprite_pos
0x7e0b58: sprite_stunned
0x7e0b68: repulsespark_floor_status
0x7e0b6a: sprite_limit_instance
0x7e0b6b: sprite_flags
0x7e0b7b: link_prevent_from_moving
0x7e0b7c: drag_player_x
0x7e0b7e: drag_player_y
0x7e0b80: dungeon_room_history
0x7e0b89: sprite_obj_prio
0x7e0b99: archery_game_arrows_left
0x7e0b9a: archery_game_out_of_arrows
0x7e0b9c: dung_secrets_unk1
0x7e0ba0: sprite_ignore_projectile
0x7e0bb0: sprite_unk2
0x7e0bc0: sprite_N
0x7e0be0: sprite_flags5
0x7e0bf0: ancilla_arr4
0x7e0bfa: ancilla_y_lo
0x7e0c04: ancilla_x_lo
0x7e0c0e: ancilla_y_hi
0x7e0c18: ancilla_x_hi
0x7e0c22: ancilla_y_vel
0x7e0c2c: ancilla_x_vel
0x7e0c36: ancilla_y_subpixel
0x7e0c40: ancilla_x_subpixel
0x7e0c4a: ancilla_type
0x7e0c54: ancilla_step
0x7e0c5e: ancilla_item_to_link
0x7e0c68: ancilla_timer
0x7e0c72: ancilla_dir
0x7e0c7c: ancilla_floor
