Vector_RESET Interrupt_Reset
MirrorWarp_LoadNext_8x AnimateMirrorWarp_DoSpritesPalettes
MirrorWarp_LoadNext_6 AnimateMirrorWarp_TriggerOverlayB
MirrorWarp_LoadNext_14 AnimateMirrorWarp_TriggerBGChar0
MirrorWarp_LoadNext_10 AnimateMirrorWarp_DecompressAnimatedTiles
LoadMainAuxTiles AnimateMirrorWarp_DecompressNewTileSets
MirrorWarp_LoadNext_2 AnimateMirrorWarp_DecompressBackgroundsA
MirrorWarp_LoadNext_3 AnimateMirrorWarp_DecompressBackgroundsB
MirrorWarp_LoadNext_4 AnimateMirrorWarp_DecompressBackgroundsC
MirrorWarp_LoadNext_11 AnimateMirrorWarp_LoadSubscreen
MirrorWarp_LoadNext_12 AnimateMirrorWarp_DecompressSpritesA
MirrorWarp_LoadNext_13 AnimateMirrorWarp_DecompressSpritesB
Graphics_IncrementalVramUpload Graphics_IncrementalVRAMUpload
LoadGfxFunc1 LoadNewSpriteGFXSet
InitTilesets InitializeTilesets
LoadDefaultGfx LoadDefaultGraphics
DecompAndDirectCopy DecompressAndCopyManually
Attract_InitGraphics_Helper1 Attract_LoadBG3GFX
Graphics_LoadCommonSpr LoadCommonSprites_2
WriteMode7GraphicsData TransferMode7Characters
Graphics_MaybeLoadChrHalfSlot Graphics_LoadChrHalfSlot
LoadSelectScreenGfx LoadFileSelectGraphics
CopyFontToVram TransferFontToVRAM
LoadSpriteGfx LoadSpriteGraphics
Upload3To4High Do3To4High
LoadBgGfx LoadBackgroundGraphics
Upload3To4Low Do3To4Low
LoadCommonSprGfxToVram LoadCommonSprites
Decomp_spr_to_0x7f4600 Decompress_sprite_high
DecompSprOrBg Decompress
Decomp_get_next_byte Decompression_GetNextByte
PaletteFilter_doFiltering ApplyPaletteFilter
PaletteFilterUnused UNREACHABLE_00EA79
Palette_ResetHud45ForText ResetHUDPalettes4and5
Palette_Restore_SP5F PaletteFilter_RestoreSP5F
Palette_Filter_SP5F PaletteFilter_SP5F
KholdstareShell_PaletteFiltering_Code PaletteFilter_KholdstareShell_init
PaletteFilter_Agahnim AgahnimWarpShadowFilter
sub_80ED19 AgahnimWarpShadowFilter_filter_one
sub_80EDB1 PaletteFilter_Restore
RestorePaletteAdditive_FadeIn PaletteFilter_RestoreAdditive
RestorePaletteSubtractive PaletteFilter_RestoreSubtractive
Palette_InitWhiteFilter PaletteFilter_InitializeWhiteFilter
sub_80EEE0 MirrorWarp_GoToSubmodules
Palette_MirrorWarp_Step MirrorWarp_RunAnimationSubmodules
Palette_DarkenOrLighten_Step PaletteFilter_BlindingWhite
Palette_AnimCommon PaletteFilter_StartBlindingWhite
TriforceRoom_AnimPalette PaletteFilter_BlindingWhiteTriforce
WhirlpoolSaturateBlue PaletteFilter_WhirlpoolBlue
WhirlpoolIsolateBlue PaletteFilter_IsolateWhirlpoolBlue
WhirlpoolRestoreBlue PaletteFilter_WhirlpoolRestoreBlue
WhirlpoolRestoreRedGreen PaletteFilter_WhirlpoolRestoreRedGreen
sub_80F132 EXIT_00F12D
PaletteFilter_Restore_Strictly_Bg_Subtractive PaletteFilter_RestoreBGSubstractiveStrict
PaletteFilter_Restore_Strictly_Bg_Additive PaletteFilter_RestoreBGAdditiveStrict
PaletteFilter_IncreaseTrinexxRed Trinexx_FlashShellPalette_Red
PaletteFilter_RestoreTrinexxRed Trinexx_UnflashShellPalette_Red
PaletteFilter_IncreaseTrinexxBlue Trinexx_FlashShellPalette_Blue
PaletteFilter_RestoreTrinexxBlue Trinexx_UnflashShellPalette_Blue
Spotlight_close IrisSpotlight_close
ConfigureSpotlightTable IrisSpotlight_ConfigureTable
ResetSpotlightTable IrisSpotlight_ResetTable
ConfigureSpotlightTable_Helper IrisSpotlight_CalculateCircleValue
OrientLampBg OrientLampLightCone
Hdma_ConfigureWaterTable AdjustWaterHDMAWindow
Hdma_ConfigureWaterTable_Inner AdjustWaterHDMAWindow_X
Watergate_Helper FloodDam_PrepFloodHDMA
Module_Messaging Module0E_Interface
Messaging_Main RunInterface
Messaging_PrayingPlayer Module0E_05_DesertPrayer
PrayingPlayer_InitScene DesertPrayer_InitializeCutscene
PrayingPlayer_FadeInScene DesertPrayer_FadeScene
UNUSED_Module_Messaging_6 Module0E_06_Unused
Module_Messaging_4 Module0E_04_RedPotion
Module_Messaging_8 Module0E_08_GreenPotion
Module_Messaging_9 Module0E_09_BluePotion
PrepDungeonBossExit PrepareDungeonExitFromBossFight
Module_Messaging_11 Module0E_0B_SaveMenu
Overworld_LoadGfxProperties Sprite_LoadGraphicsProperties
Overworld_LoadGfxProperties_justLightWorld Sprite_LoadGraphicsProperties_light_world_only
Dungeon_InitStarTileChr ResetStarTileGraphics
Mirror_InitHdmaSettings InitializeMirrorHDMA
Overworld_InitMirrorWarp_HDMA MirrorWarp_BuildAndEnableHDMATable
Overworld_MirrorWarp_State3 MirrorWarp_BuildWavingHDMATable
Overworld_MirrorWarp_State4 MirrorWarp_BuildDewavingHDMATable
Dungeon_DrawObjects RoomDraw_DrawAllObjects
Dungeon_LoadDoor RoomData_DrawObject_Door
Dungeon_LoadType1Object RoomData_DrawObject
Dungeon_DrawFloors RoomDraw_DrawFloors
Dung_FillFloor RoomDraw_FloorChunks
Object_Draw_N_4x4 RoomDraw_A_Many32x32Blocks
Object_Draw_WallVert RoomDraw_Downwards4x2_1to15or26
Object_Draw_WallHorz_LR RoomDraw_Rightwards2x4_1to15or26
Object_Draw_WallVert_BothBg RoomDraw_Downwards4x2_1to16_BothBG
Object_Draw_WallHorz_LR_BothBgs RoomDraw_Rightwards2x4spaced4_1to16
Object_Draw_67 RoomDraw_Downwards2x2_1to16
Object_Draw_07 RoomDraw_Rightwards2x2_1to16
Object_Draw_60 RoomDraw_Downwards2x2_1to15or32
Object_Draw2x2s_AdvanceRight RoomDraw_Rightwards2x2_1to15or32
Object_Draw_C0 RoomDraw_4x4BlocksIn4x4SuperSquare
Object_CeilingNW RoomDraw_DiagonalCeilingTopLeftA
Object_CeilingSW RoomDraw_DiagonalCeilingBottomLeftA
Object_CeilingNE RoomDraw_DiagonalCeilingTopRightA
Object_CeilingSE RoomDraw_DiagonalCeilingBottomRightA
Object_Draw_05 RoomDraw_Rightwards2x4spaced4_1to16_BothBG
Object_Draw_65 RoomDraw_DownwardsDecor4x2spaced4_1to16
Object_Draw_09 RoomDraw_DiagonalAcute_1to16
Object_Draw_0A RoomDraw_DiagonalGrave_1to16
Object_Draw_15 RoomDraw_DiagonalAcute_1to16_BothBG
Object_Draw_16 RoomDraw_DiagonalGrave_1to16_BothBG
Object_Draw_C1 RoomDraw_ClosedChestPlatform
sub_818D47 RoomDraw_ChestPlatformHorizontalWallWithCorners
Object_Draw_21 RoomDraw_Rightwards1x2_1to16_plus2
Object_Draw_Nx3 RoomDraw_1x3_rightwards
Object_Draw_C3 RoomDraw_3x3FloorIn4x4SuperSquare
Object_Draw_A4_Hole RoomDraw_BigHole4x4_1to16
Object_Draw_A5 RoomDraw_DiagonalCeilingTopLeftB
Object_Draw_A6 RoomDraw_DiagonalCeilingBottomLeftB
Object_Draw_A7 RoomDraw_DiagonalCeilingTopRightB
Object_Draw_A8 RoomDraw_DiagonalCeilingBottomRightB
Object_DrawLongVertRail RoomDraw_DownwardsHasEdge1x1_1to16_plus23
Object_DrawVertRail RoomDraw_DownwardsHasEdge1x1_1to16_plus3
Object_Draw_5F RoomDraw_RightwardsHasEdge1x1_1to16_plus23
Object_DrawHorzRailThin RoomDraw_RightwardsHasEdge1x1_1to16_plus3
Object_Draw_88 RoomDraw_DownwardsBigRail3x1_1to16plus5
Object_Draw_5D RoomDraw_RightwardsBigRail1x3_1to16plus5
Object_DrawEdge_LR RoomDraw_RightwardsHasEdge1x1_1to16_plus2
Object_DrawEdge_UD RoomDraw_DownwardsEdge1x1_1to16
Object_Draw_DB RoomDraw_4x4FloorTwoIn4x4SuperSquare
Object_Draw_C4 RoomDraw_4x4FloorOneIn4x4SuperSquare
nullsub_5 RoomDraw_Nothing_D
Object_Draw_2F RoomDraw_RightwardsTopCorners1x2_1to16_plus13
Object_Draw_30 RoomDraw_RightwardsBottomCorners1x2_1to16_plus13
Object_Draw_6C RoomDraw_DownwardsLeftCorners2x1_1to16_plus12
Object_Draw_6D RoomDraw_DownwardsRightCorners2x1_1to16_plus12
Object_Draw_B0 RoomDraw_RightwardsEdge1x1_1to16plus7
Object_Draw_8B RoomDraw_DownwardsEdge1x1_1to16plus7
nullsub_2 RoomDraw_Nothing_A
Object_Draw_70 RoomDraw_DownwardsFloor4x4_1to16
Object_RedCarpetFloor RoomDraw_Rightwards4x4_1to16
Object_Draw_71 RoomDraw_Downwards1x1Solid_1to16_plus3
Object_RedCarpetFloorTrim RoomDraw_Rightwards1x1Solid_1to16_plus3
sub_81913F RoomDraw_DoorSwitcherer
nullsub_4 RoomDraw_Nothing_E
Object_MovingWallRight RoomDraw_MovingWallWest
Object_Draw_3x3 RoomDraw_ChestPlatformCorner
Object_MovingWallLeft RoomDraw_MovingWallEast
Object_MovingWall_IsEnabled RoomDraw_CheckIfWallIsMoved
Object_MovingWall_Func1 MovingWall_FillReplacementBuffer
Object_Draw_36 RoomDraw_RightwardsDecor4x4spaced2_1to16
Object_Draw_73 RoomDraw_DownwardsDecor4x4spaced2_1to16
Object_Draw_38 RoomDraw_RightwardsStatue2x3spaced2_1to16
Object_Draw_5E RoomDraw_RightwardsBlock2x2spaced2_1to16
Object_Draw_89 RoomDraw_DownwardsBlock2x2spaced2_1to16
Object_Draw_75 RoomDraw_DownwardsPillar2x4spaced2_1to16
Object_Draw_39 RoomDraw_RightwardsPillar2x4spaced4_1to16
Object_DrawWallDecor RoomDraw_RightwardsDecor4x3spaced4_1to16
Object_Draw_76 RoomDraw_DownwardsDecor3x4spaced4_1to16
Object_Draw_3C RoomDraw_RightwardsDoubled2x2spaced2_1to16
Object_Draw_DD RoomDraw_TableRock4x4_1to16
Object_Draw_DE RoomDraw_Spike2x2In4x4SuperSquare
Object_Draw_78 RoomDraw_DownwardsDecor2x2spaced12_1to16
Object_WallColumn RoomDraw_RightwardsDecor2x2spaced12_1to16
Object_Draw_47 RoomDraw_Waterfall47
Object_Draw_48 RoomDraw_Waterfall48
Object_Draw_49 RoomDraw_RightwardsFloorTile4x2_1to16
Object_Draw_4C RoomDraw_RightwardsBar4x3_1to16
Object_Draw_4D RoomDraw_RightwardsShelf4x4_1to16
Object_Draw_D8 RoomDraw_WaterOverlayA8x8_1to16
Object_Draw_DA RoomDraw_WaterOverlayB8x8_1to16
Object_Draw_50 RoomDraw_RightwardsLine1x1_1to16plus1
Object_Draw_7C RoomDraw_DownwardsLine1x1_1to16plus1
Object_Draw_WallTorches RoomDraw_RightwardsDecor4x2spaced8_1to16
Object_Draw_7F RoomDraw_DownwardsDecor2x4spaced8_1to16
nullsub_3 RoomDraw_Nothing_C
Object_Draw_81 RoomDraw_DownwardsDecor3x4spaced2_1to16
Object_Draw_ChestPlatform RoomDraw_OpenChestPlatform
Object_Draw_8F RoomDraw_DownwardsBar2x5_1to16
Object_Draw_B5 RoomDraw_Weird2x4_1_to_16
Object_Draw4x4 RoomDraw_4x4
Object_Draw_Nx4 RoomDraw_Object_Nx4
Object_Draw4x4_BothBgs RoomDraw_4x4Corner_BothBG
Object_Draw3x4_BothBgs RoomDraw_WeirdCornerBottom_BothBG
Object_Draw4x3_BothBgs RoomDraw_WeirdCornerTop_BothBG
Object_LitTorch RoomDraw_LitTorch
Object_Draw_2x2 RoomDraw_Rightwards2x2
Object_BigKeyLock RoomDraw_BigKeyLock
Object_Chest RoomDraw_Chest
Object_BigChest RoomDraw_BigChest
Object_Draw4x3_0 RoomDraw_TableRock4x3
Object_Draw3x4 RoomDraw_SolidWallDecor3x4
Object_OpenedBigChest RoomDraw_BigChest_opened
Object_OpenedBigChest_fake RoomDraw_OpenBigChest
Object_Draw3x8 RoomDraw_BigWallDecor
Object_Draw3x6 RoomDraw_Utility6x3
Object_Draw7x8 RoomDraw_MagicBatAltar
Object_Draw8x6 RoomDraw_SmithyFurnace
Object_StarTile_on RoomDraw_EnabledStarSwitch
Object_Draw6x4 RoomDraw_VerticalTurtleRockPipe
Object_Draw4x6 RoomDraw_HorizontalTurtleRockPipe
Object_Rupees RoomDraw_RupeeFloor
Object_Draw5x4 RoomDraw_Bed4x5
sub_819B18 UNREACHABLE_019B18
Object_WaterLadder RoomDraw_WaterHopStairs_A
Object_DrawWallPaint RoomDraw_PortraitOfMario
Object_Draw6x3 RoomDraw_DrawRightwards3x6
Object_SanctuaryMantle RoomDraw_SanctuaryWall
Object_Draw_3x2_0 RoomDraw_ChestPlatformVerticalWall
Object_Watergate RoomDraw_DamFloodGate
sub_819C3B RoomDraw_SomariaLine_increment_count
Object_PrisonBars RoomDraw_PrisonCell
Object_Draw_51 RoomDraw_RightwardsCannonHole4x3_1to16
Object_Draw_85 RoomDraw_DownwardsCannonHole3x4_1to16
Object_00_DrawWaterFace RoomDraw_EmptyWaterFace
Object_Draw_4x2 RoomDraw_TableBowl
Object_Draw_4xN RoomDraw_WaterHoldingObject
Object_KholdstareShell RoomDraw_KholdstareShell
Object_Draw8xN_BG2 RoomDraw_SomeBigDecors
Object_TrinexxShell RoomDraw_TrinexxShell
Object_LanternLayer RoomDraw_LampCones
Object_LanternLayer_Helper RoomDraw_SingleLampCone
Object_AgahnimAltar RoomDraw_AgahnimsAltar
Object_AgahnimRoomFrame RoomDraw_AgahnimsWindows
Object_FortuneTellerTemplate RoomDraw_FortuneTellerRoom
Object_55_WaterTroof RoomDraw_Utility3x5
Object_Draw62 RoomDraw_VitreousGooGraphics
Object_EntireFloorIsPit RoomDraw_BG2MaskFull
Object_InterStaircase1 RoomDraw_AutoStairs_North_MultiLayer_A
sub_81A2C1 AutoStairsNorthMergedStart
Object_InterStaircase3 RoomDraw_AutoStairs_North_MergedLayer_A
Object_InterStaircase4 RoomDraw_AutoStairs_North_MergedLayer_B
Object_Stair RoomDraw_AutoStairs_South_MultiLayer_A
sub_81A36A South_MergedStairs_BecomeMultiC
Object_StairWetS RoomDraw_AutoStairs_South_MultiLayer_C
Object_33_StairsSubmerged RoomDraw_AutoStairs_South_MergedLayer
Object_InactiveWaterLadder RoomDraw_WaterHopStairs_B
Object_InterStaircase5 RoomDraw_InterRoomFatStairsUp
Object_InterStaircase6 RoomDraw_InterRoomFatStairsDown_A
Object_InterStaircase7 RoomDraw_InterRoomFatStairsDown_B
Object_WallUpNorthSpiralStaircase RoomDraw_SpiralStairsGoingUpUpper
Object_WallUpNorthSpiralStaircase2 RoomDraw_SpiralStairsGoingUpLower
Object_WallDownNorthSpiralStaircase RoomDraw_SpiralStairsGoingDownUpper
Object_WallDownNorthSpiralStaircase2 RoomDraw_SpiralStairsGoingDownLower
Object_1E_Staircase RoomDraw_StraightInterroomStairsGoingUpNorthUpper
Object_26_Staircase RoomDraw_StraightInterroomStairsGoingUpNorthLower
Object_27_Staircase RoomDraw_StraightInterroomStairsGoingDownNorthLower
sub_81A6B5 StraightInterroomStairsLowerMain
Object_28_Staircase RoomDraw_StraightInterroomStairsGoingUpSouthLower
Object_29_Staircase RoomDraw_StraightInterroomStairsGoingDownSouthLower
sub_81A767 StraightInterroomStairsLower_continue
Object_Draw6x3_Stuff RoomDraw_ArcheryGameTargetDoor
Object_Stacked4x4s RoomDraw_LightBeamOnFloor
Object_BlindLight RoomDraw_BigLightBeamOnFloor
Object_Triforce RoomDraw_GanonTriforceFloorDecor
Object_Draw10x20_With4x4 RoomDraw_VitreousGooDamage
Door_Up RoomDraw_Door_North
Door_Up_Draw_Types_Below_0x40 RoomDraw_NormalRangedDoors_North
Door_Up_PositionLessThan6 RoomDraw_OneSidedShutters_North
Door_Down RoomDraw_Door_South
Door_Down_Draw_Helper_2 RoomDraw_CheckIfLowerLayerDoors_Y
Door_Draw_Helper_4 RoomDraw_OneSidedShutters_South
Door_Left RoomDraw_Door_West
Door_Left_AddNormalDoor RoomDraw_NormalRangedDoors_West
Dung_PlotDoor_Nx4 RoomDraw_DrawUnreachableDoorSwitcher
Door_Right RoomDraw_Door_East
Door_Right_AddNormalDoor RoomDraw_NormalRangedDoors_East
Door_Right_Helper1 RoomDraw_OneSidedShutters_East
Draw_Tiles_R14x4 DrawUnusedDoorSwitchObject
Door_Up_SwordActivated RoomDraw_NorthCurtainDoor
Door_BlastWallUp_Helper3 ExplodingWallNotOpen
Door_BlastWallUp RoomDraw_Door_ExplodingWall
Door_BlastWallUp_Helper RoomDraw_ExplodingWallSegment
Door_BlastWallUp_Helper2 RoomDraw_ExplodingWallColumn
Door_Up_Draw_Types_Above_0x40 RoomDraw_HighRangeDoor_North
Door_Down_Draw_Types_Above_0x40 RoomDraw_OneSidedLowerShutters_South
Door_Left_AddDoorAbove0x40 RoomDraw_HighRangeDoor_West
Door_Right_AddDoorAbove0x40 RoomDraw_OneSidedLowerShutters_East
Door_Up_EntranceDoor_UNUSED RoomDraw_MakeDoorHighPriorityLowerLayer_North
Door_Helper_SetPriority RoomDraw_MakeDoorHighPriority_North
Door_Down_EntranceDoor_UNUSED RoomDraw_MakeDoorHighPriorityLowerLayer_South
Door_Helper_SetPriority2 RoomDraw_MakeDoorHighPriority_South
Door_Left_EntranceDoor_UNUSED RoomDraw_MakeDoorHighPriorityLowerLayer_West
Door_Helper_SetPriority3 RoomDraw_MakeDoorHighPriority_West
Door_Right_EntranceDoor_UNUSED RoomDraw_MakeDoorHighPriorityLowerLayer_East
Door_PrioritizeAligned RoomDraw_MakeDoorHighPriority_East
Door_AddPalaceToggleProperty RoomDraw_MarkDungeonToggleDoor
Door_AddFloorToggleProperty RoomDraw_MarkLayerToggleDoor
Object_Size_1_to_16 RoomDraw_GetObjectSize_1to16
Object_Size_1_to_15_or_26 RoomDraw_GetObjectSize_1to15or26
Object_Size_1_to_15_or_32 RoomDraw_GetObjectSize_1to15or32
Door_Register RoomDraw_FlagDoorsAndGetFinalType
Object_CheckTileNotEqualTo RoomDraw_SmallRailCorner
Door_Prioritize7x4_Unreferenced UNREACHABLE_01B19E
Door_Prioritize4x7 RoomDraw_MakeDoorPartsHighPriority_Y
Door_Prioritize7x4 UNREACHABLE_01B1E1
Door_Prioritize5x4 RoomDraw_MakeDoorPartsHighPriority_X
Object_Draw_4x2_N RoomDraw_Downwards4x2VariableSpacing
UNUSED_sub_81B254 UNREACHABLE_01B254
UNUSED_sub_81B264 UNREACHABLE_01B264
Object_Draw1x5 RoomDraw_DrawObject2x2and1
sub_81B293 RoomDraw_DrawDiagonalGrave
sub_81B2A1 RoomDraw_DrawDiagonalAcute
Object_Draw_2x2_AdvanceDown RoomDraw_Object_2x2_downwards
Object_DrawInteriorEdge RoomDraw_LineOf8x8_advance_and_use_B2_for_count
Object_Draw1x4 RoomDraw_RightwardShelfEnd
Object_Draw1x3 RoomDraw_RightwardBarSegment
Object_2B_Staircase RoomDraw_WeirdGloveRequiredPot
sub_81B30B RoomDraw_WeirdUglyPot
Object_LargeLiftableBlock RoomDraw_BigGrayRock
Object_ReplacementTileHelper DrawBigGraySegment
Object_Draw_BC RoomDraw_RightwardsFakePots2x2_1to16
Object_Draw_95 RoomDraw_DownwardsFakePots2x2_1to16
Object_Pot RoomDraw_SinglePot
Object_BombableFloor RoomDraw_BombableFloor
Object_Draw_BD RoomDraw_RightwardsHammerPegs2x2_1to16
Object_Draw_96 RoomDraw_DownwardsHammerPegs2x2_1to16
Object_PegBlock RoomDraw_HammerPegSingle
Dungeon_LoadBlock DrawObjects_PushableBlock
Dungeon_LoadTorch DrawObjects_LightableTorch
Dungeon_CheckAdjacentRoomOpenedDoors Dungeon_CheckAdjacentRoomsForOpenDoors
Dungeon_ApplyOverlay_Far Dungeon_ApplyRoomOverlay
Dungeon_LoadAttrIncremental Dungeon_LoadAttribute_Selectable
Dungeon_LoadAttrTable Dungeon_LoadAttributeTable
Dungeon_LoadBasicAttr Dungeon_LoadBasicAttribute
Dungeon_LoadBasicAttr_full Dungeon_LoadBasicAttribute_full
Dungeon_LoadObjAttr Dungeon_LoadObjectAttribute
Dungeon_SetChestAttr Dungeon_SetChestAttributes
Dungeon_LoadDoorAttr Dungeon_LoadDoorAttribute
Dungeon_LoadSingleDoorAttr Dungeon_LoadSingleDoorAttribute
someExperimentalCrap ChangeDoorToSwitch
Dungeon_InitBarrierAttr Dungeon_InitializePegAttribute
Dungeon_ToggleBarrierAttr Dungeon_FlipCrystalPegAttribute
Dungeon_CheckStairsAndRunScripts Dungeon_HandleRoomTags
Dungeon_DetectStaircaseEasyOut RoomTag_DirtyExit
Dung_TagRoutine_0x29 RoomTag_NorthWestTrigger
Dung_TagRoutine_0x31 RoomTag_QuadrantTrigger
Dung_TagRoutine_0x32 RoomTag_RoomTrigger
Dung_TagRoutine_0x3F RoomTag_RekillableBoss
Dung_TagRoutine_0x14 RoomTag_RoomTrigger_BlockDoor
Dung_TagRoutine_0x15 RoomTag_PrizeTriggerDoorDoor
Dung_TagRoutine_0x16 RoomTag_SwitchTrigger_HoldDoor
Dung_TagRoutine_0x17 RoomTag_SwitchTrigger_ToggleDoor
Dung_DoorSwitch_Func2 PushPressurePlate
Dung_TagRoutine_0x33 RoomTag_TorchPuzzleDoor
Dung_TagRoutine_0x20 RoomTag_Switch_ExplodingWall
Dung_TagRoutine_0x28 RoomTag_PullSwitchExplodingWall
Dung_TagRoutine_0x25 RoomTag_GetHeartForPrize
Dung_TagRoutine_0x38 RoomTag_Agahnim
Dung_TagRoutine_0x3D RoomTag_GanonDoor
Dung_TagRoutine_0x26 RoomTag_KillRoomBlock
Dung_TagRoutine_0x3C RoomTag_PushBlockForChest
Dung_TagRoutine_0x27 RoomTag_TriggerChest
Dung_TagRoutine_Helper RoomTag_OperateChestReveal
Dung_TagRoutine_0x3E RoomTag_TorchPuzzleChest
Dung_TagRoutine_0x1C RoomTag_MovingWall_East
MovingWall_Func1 RoomTag_MovingWallShakeItUp
Dung_TagRoutine_0x1D RoomTag_MovingWall_West
Dung_TagRoutine_0x1F RoomTag_MovingWallTorchesCheck
MovingWall_Func2 MovingWall_MoveALittle
MovingWall_Func3 RoomTag_AdvanceGiganticWall
Dung_TagRoutine_0x18 RoomTag_WaterOff
Dung_TagRoutine_0x19 RoomTag_WaterOn
Dung_TagRoutine_0x1A_Watergate RoomTag_WaterGate
Dung_TagRoutine_0x21 RoomTag_Holes0
Dung_TagRoutine_0x22 RoomTag_ChestHoles0
Dung_TagRoutine_0x24 RoomTag_Holes2
Object_WatergateChannelWater RoomTag_OperateWaterFlooring
Dung_DoorSwitch_Func1 RoomTag_MaybeCheckShutters
Dung_DoorSwitch_GetPos RoomTag_GetTilemapCoords
Dung_CheckStarTileSwitch RoomTag_CheckForPressedSwitch
Dungeon_ProcessTorchAndDoorInteractives Dungeon_ProcessTorchesAndDoors
Bomb_CheckForVulnerableTileObjects Bomb_CheckForDestructibles
Dung_AnimDoor DrawDoorOpening_Step1
Dung_AnimTrapDoor DrawShutterDoorSteps
Dung_AnimDoorB DrawEyeWatchDoor
sub_81D365 IndexAndClearCurtainDoor
Dungeon_AnimateTrapDoors OperateShutterDoors
Dungeon_AnimateDestroyingWeakDoor OpenCrackedDoor
Dungeon_OpeningLockedDoor_Far UnlockKeyDoor_Main
Dungeon_LoadToggleDoorAttr Dungeon_LoadSingleDoorTileAttribute_from_wram_index
Dungeon_LoadDoorAttrInner Dungeon_LoadSingleDoorTileAttribute
Dungeon_OpeningLockedDoor_StairMaskLocked DrawCompletelyOpenDoor
Door_BlastWallExploding Dungeon_ClearAwayExplodingWall
Dungeon_QueryIfTileLiftable Dungeon_CheckForAndIDLiftableTile
PushBlock_Handler_Inner PushBlock_Main
